                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.34069,                0.36207,                0.36758,                0.95007,                0.98246,                      1,                  0.995,                 0.9143,                0.98246,                      1,                  0.995,                0.97863,                0.39269,                0.34037,                0.35365,                0.78196,               0.001684,               0.001684,               0.001684
                     86,                0.31008,                0.35769,                0.30277,                0.91968,                0.98508,                      1,                  0.995,                0.92077,                0.98508,                      1,                  0.995,                0.97866,                0.40815,                0.33228,                0.33562,                0.79616,               0.001585,               0.001585,               0.001585
                     87,                0.33839,                0.41004,                0.30298,                0.93664,                0.98821,                      1,                  0.995,                0.95274,                0.98821,                      1,                  0.995,                0.97875,                0.43628,                0.33306,                0.32661,                0.82841,               0.001486,               0.001486,               0.001486
                     88,                0.29571,                0.31145,                0.32897,                0.91873,                0.98782,                      1,                  0.995,                0.95281,                0.98782,                      1,                  0.995,                0.97877,                0.43178,                0.34207,                0.31373,                0.82888,               0.001387,               0.001387,               0.001387
                     89,                0.32056,                 0.3499,                0.31022,                0.91921,                0.98526,                      1,                  0.995,                0.97461,                0.98526,                      1,                  0.995,                0.97877,                0.42338,                0.34919,                0.30697,                0.82879,               0.001288,               0.001288,               0.001288
                     90,                0.25482,                0.25506,                0.30364,                0.95022,                0.98159,                      1,                  0.995,                0.98146,                0.98159,                      1,                  0.995,                0.97871,                0.34074,                0.35331,                 0.3105,                0.73806,               0.001189,               0.001189,               0.001189
                     91,                0.23299,                 0.2321,                0.31104,                0.97684,                0.97877,                      1,                  0.995,                0.94069,                0.97877,                      1,                  0.995,                0.97311,                0.40031,                0.36179,                0.41458,                0.79568,                0.00109,                0.00109,                0.00109
                     92,                0.21274,                0.22981,                0.23135,                0.94288,                0.97925,                      1,                  0.995,                 0.9651,                0.97925,                      1,                  0.995,                0.97309,                 0.3404,                0.36284,                0.41173,                0.72287,               0.000991,               0.000991,               0.000991
                     93,                0.22772,                0.23018,                0.23817,                0.98531,                 0.9835,                      1,                  0.995,                0.95527,                 0.9835,                      1,                  0.995,                0.97857,                0.33683,                0.37675,                0.45102,                  0.745,               0.000892,               0.000892,               0.000892
                     94,                0.19602,                0.21804,                0.23036,                0.94475,                0.98372,                      1,                  0.995,                0.95882,                0.98372,                      1,                  0.995,                0.97859,                0.33354,                0.36211,                0.41583,                 0.7344,               0.000793,               0.000793,               0.000793
                     95,                0.17986,                 0.2104,                0.20706,                0.92595,                0.98369,                      1,                  0.995,                0.97526,                0.98369,                      1,                  0.995,                 0.9731,                0.31638,                  0.354,                0.35992,                0.70096,               0.000694,               0.000694,               0.000694
                     96,                0.20111,                 0.2205,                0.21416,                0.97475,                0.98409,                      1,                  0.995,                0.96472,                0.98409,                      1,                  0.995,                0.97311,                0.29717,                0.34838,                0.31695,                0.67243,               0.000595,               0.000595,               0.000595
                     97,                  0.183,                 0.2114,                0.20037,                0.95564,                0.98525,                      1,                  0.995,                0.96495,                0.98525,                      1,                  0.995,                0.97867,                0.28294,                0.34608,                0.27319,                0.65599,               0.000496,               0.000496,               0.000496
                     98,                0.17442,                0.21722,                0.19715,                 0.9419,                0.98533,                      1,                  0.995,                0.96513,                0.98533,                      1,                  0.995,                0.97871,                0.27896,                0.34564,                0.25576,                0.64794,               0.000397,               0.000397,               0.000397
                     99,                0.16468,                0.23548,                  0.188,                0.93544,                0.98615,                      1,                  0.995,                0.98344,                0.98615,                      1,                  0.995,                0.97334,                0.27605,                0.34738,                0.25358,                0.65189,               0.000298,               0.000298,               0.000298
